Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum, Tau_Ener_1, Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,type,type_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2
657.208,268.22,462.714,194.494,16.7446,9.02186,12.8832,3.86135,695.665,498.94,196.724,0.54228,0.392276,-0.150004,1,3,77.9602,282.693,35.3063,159,123.693,29.2012,-2.90936,13.1459,16.0553,1873.41,901.799,971.608,-5.17074,-2.42067,2.75008
296.476,110.506,203.491,92.9849,10.7319,2.58708,6.6595,4.07242,779.627,649.481,130.147,0.962184,1.82815,0.865961,1,3,64.4773,290.328,70.2301,180.279,110.049,35.6664,-3.60213,16.0321,19.6343,1433.4,1025.38,408.02,4.40715,2.42352,-1.98363
738.815,8.67627,373.746,365.069,20.6292,12.4906,16.5599,4.06929,1119.14,613.883,505.256,0.229386,1.07983,0.850445,1,3,110.611,240.604,27.3958,134,106.604,34.6597,5.65094,20.1553,14.5044,1317.28,1208.37,108.91,3.04721,2.88911,-0.158108
326.315,138.132,232.223,94.0916,-7.62939e-06,0,-3.8147e-06,-3.8147e-06,520.223,256.697,263.526,-2.14468,-0.455164,1.68952,1,3,223.733,410.888,224.188,317.538,93.3499,97.9417,62.7591,80.3504,17.5913,1327.27,699.347,627.925,-4.01242,-1.41918,2.59324
731.994,181.477,456.735,275.258,13.6871,13.6871,13.6871,3.8147e-06,1448.11,1120.72,327.393,-0.940166,-1.54631,-0.606147,1,3,123.336,405.996,336.081,371.039,34.9571,37.8246,24.3937,31.1091,6.71545,953.047,595.533,357.514,-4.06487,-1.04925,3.01563
453.449,8.17134,230.81,222.639,9.48544,-2.97691,3.25427,6.23118,549.91,292.292,257.618,0.161613,0.714492,0.55288,1,3,192.045,182.789,14.224,98.5063,84.2823,30.2814,-1.29994,14.4907,15.7907,1159.7,797.068,362.634,4.91757,2.77996,-2.13761
176.043,20.5502,98.2967,77.7464,28.9225,1.00236,14.9624,13.96,197.423,99.6756,97.7472,0.614353,-0.071238,-0.685591,1,3,229.982,590.695,63.4435,327.069,263.626,70.1067,-13.7952,28.1558,41.951,2054.45,1337.9,716.55,-3.74184,-2.08632,1.65552
175.688,113.756,144.722,30.9661,18.12,18.12,18.12,-4.76837e-07,392.585,352.481,40.1048,0.786258,1.53679,0.750529,1,3,37.1738,287.303,172.055,229.679,57.6243,35.1453,23.1962,29.1707,5.97456,1084.4,726.669,357.728,-4.3304,-1.81812,2.51228
194.701,104.79,149.746,44.9553,6.0303,3.8553,4.9428,1.0875,426.83,229.575,197.255,-1.16756,0.991153,2.15871,1,3,154.233,254.431,161.666,208.048,46.382,22.1465,11.1422,16.6444,5.50218,1168.64,390.473,778.166,-4.75392,-1.24166,3.51226
839.63,256.141,547.885,291.745,24.6378,1.15939,12.8986,11.7392,1082.64,635,447.643,0.435802,-0.556293,-0.992095,1,3,55.8347,121.034,27.6245,74.3291,46.7046,9.27511,-0.716765,4.27917,4.99594,1368.65,1253.32,115.331,5.06962,3.51731,-1.55231
244.568,49.7607,147.164,97.4037,4.95634,4.95634,4.95634,-1.90735e-06,309.448,170.646,138.802,-1.44892,-0.556824,0.892096,1,3,643.36,596.598,114.946,355.772,240.826,111.636,59.8861,85.7612,25.8751,2650.74,541.017,2109.72,3.82376,0.963724,-2.86004
257.711,76.7878,167.249,90.4615,16.9795,16.9795,16.9795,-1.3487e-06,383.107,280.927,102.18,0.602387,1.10604,0.503656,1,3,163.833,271.369,28.2668,149.818,121.551,34.053,16.1593,25.1061,8.94683,2481.25,2137,344.247,5.05066,3.34959,-1.70108
604.907,62.6984,333.803,271.104,13.7613,6.85987,10.3106,3.45073,1258.13,942.135,316,2.26544,1.69771,-0.567729,1,3,148.577,633.776,161.732,397.754,236.022,33.2492,-3.41997,14.9146,18.3346,2965.42,921.897,2043.52,-4.33169,-1.48343,2.84826
448.825,127.89,288.357,160.468,5.71019,-0.605425,2.55238,3.15781,655.167,470.521,184.646,-0.529966,-1.07195,-0.541985,1,3,167.444,320.249,100.792,210.521,109.729,41.2013,18.05,29.6257,11.5757,2119.5,1896.95,222.552,-4.21988,-2.88835,1.33153
419.52,352.899,386.21,33.3108,1.95847,-1.95847,0,1.95847,506.267,463.421,42.8457,0.115738,-0.622244,-0.737982,1,3,29.2135,612.615,236.064,424.34,188.276,105.846,46.837,76.3416,29.5047,3858.44,548.008,3310.43,4.28966,0.730438,-3.55923
125.337,33.9223,79.6295,45.7072,0.990276,-0.990276,0,0.990276,182.284,100.783,81.5009,1.89512,0.713666,-1.18146,1,3,463.652,590.771,79.6908,335.231,255.54,74.4489,58.9149,66.6819,7.76698,2543.76,505.015,2038.75,-3.72229,-0.956388,2.7659
445.662,299.407,372.535,73.1272,6.98404,6.77644,6.88024,0.103801,575.438,391.075,184.364,1.26229,-0.31369,-1.57598,1,3,209.577,554.62,154.732,354.676,199.944,80.1016,65.5697,72.8357,7.26594,3347.85,510.229,2837.62,4.23552,0.89094,-3.34458
286.275,145.341,215.808,70.4669,4.45544,4.45544,4.45544,0,419.582,264.891,154.691,-0.760943,0.662037,1.42298,1,3,115.527,317.761,37.8358,177.799,139.963,37.5096,4.83665,21.1731,16.3365,1691.93,722.503,969.427,-4.70236,-2.07928,2.62308
306.298,205.282,255.79,50.5082,7.57081,1.3818,4.4763,3.09451,526.416,472.688,53.7277,0.874024,1.2243,0.350275,1,3,7.14785,225.049,42.179,133.614,91.4351,37.5976,-13.9324,11.8326,25.765,1412.66,143.854,1268.8,-3.70162,-0.379782,3.32184
386.701,217.464,302.082,84.6185,1.66116,-1.66118,-7.62939e-06,1.66117,866.359,585.231,281.128,0.590334,-1.27999,-1.87033,1,3,134.704,352.033,105.26,228.647,123.386,38.8022,0.23839,19.5203,19.2819,2053.56,1841.01,212.558,-3.9096,-2.7751,1.1345
271.336,37.0238,154.18,117.156,3.80322,3.80324,3.80323,-7.62939e-06,579.796,170.062,409.734,2.37355,0.449494,-1.92405,1,3,141.738,401.436,194.125,297.78,103.656,58.5433,32.9668,45.7551,12.7882,2102.67,412.317,1690.35,-4.32596,-0.842167,3.4838
482.656,250.359,366.508,116.149,72.9811,57.8167,65.3989,7.58221,831.212,672.825,158.387,-2.03801,-1.21081,0.827201,1,3,164.887,203.491,32.0895,117.79,85.7006,44.6473,19.5237,32.0855,12.5618,1410.07,1303.14,106.929,3.7728,3.09442,-0.67838
139.873,63.6221,101.748,38.1255,14.7748,10.378,12.5764,2.19843,446.1,396.426,49.6743,2.79413,2.03573,-0.758405,1,3,25.8865,124.731,2.80278,63.767,60.9642,15.9999,-0.249553,7.87517,8.12473,1153.96,145.647,1008.31,4.96363,1.46569,-3.49794
298.214,113.085,205.649,92.5644,1.38542,-1.38542,0,1.38542,393.467,261.78,131.687,-0.166692,0.722994,0.889686,1,3,28.4418,344.072,128.434,236.253,107.819,54.4274,30.566,42.4967,11.9307,1990.71,1319.11,671.606,4.92001,2.40431,-2.5157
205.023,104.655,154.839,50.1836,6.36784,2.87138,4.61961,1.74823,398.751,348.202,50.5497,-1.33424,-1.44988,-0.115645,1,3,126.502,192.717,52.6628,122.69,70.0269,37.0008,-3.22923,16.8858,20.115,599.723,363.658,236.065,3.6306,1.7488,-1.8818
406.687,170.843,288.765,117.922,7.35199,-2.02831,2.66184,4.69015,583.86,288.914,294.946,1.53647,-0.0307192,-1.56719,1,3,34.4727,127.732,59.1002,93.4161,34.3159,12.2557,5.8569,9.05631,3.19941,2860.18,680.816,2179.37,7.51881,2.67455,-4.84426
273.156,183.456,228.306,44.85,2.29278,2.29278,2.29278,-1.16801e-06,294.114,237.973,56.1408,-0.405645,0.289826,0.695471,1,3,519.596,1035.29,112.564,573.929,461.365,145.892,7.4204,76.6564,69.236,4996.79,4107.09,889.698,3.92706,2.65602,-1.27104
