Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum, Tau_Ener_1, Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,type,type_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2
674.657,503.833,589.245,85.4122,10.8843,9.88161,10.383,0.501347,682.14,595.675,86.4647,-0.0101697,0.146553,0.156723,1,5,178.03,446.56,27.7486,237.154,209.405,89.4825,-0.882523,44.3,45.1825,2359.71,1337.06,1022.65,-4.68152,-2.41415,2.26738
429.392,162.025,295.709,133.684,69.8964,65.8296,67.863,2.03339,1159.05,789.055,369.999,3.31028,1.63348,-1.6768,1,5,315.51,221.158,123.355,172.256,48.9014,21.2428,4.20213,12.7225,8.52032,1876.35,1318.52,557.829,-5.84944,-2.72409,3.12535
358.122,295.368,326.745,31.3773,19.3158,16.0502,17.683,1.63282,442.774,408.622,34.1521,-0.277755,-0.692363,-0.414608,1,5,229.224,501.962,236.239,369.101,132.862,83.4345,62.4648,72.9497,10.4848,2330.16,1490.47,839.684,4.60246,2.07199,-2.53047
382.153,188.567,285.36,96.7933,7.13342,3.84966,5.49154,1.64188,469.927,360.994,108.933,-1.20819,-0.712697,0.495498,1,5,174.557,482.255,55.4843,268.87,213.385,86.0695,-7.32125,39.3741,46.6954,2702.7,988.631,1714.07,-4.74779,-1.97539,2.7724
382.41,258.987,320.699,61.7115,2.47946,-2.47944,7.62939e-06,2.47945,480.478,329.064,151.414,1.31825,-0.227916,-1.54617,1,5,455.968,881.151,759.546,820.349,60.8027,81.8495,61.9851,71.9173,9.93221,2160.6,1396.19,764.416,4.34596,1.123,-3.22296
965.206,9.61356,487.41,477.796,21.2785,17.6548,19.4666,1.81189,1272.33,491.68,780.646,1.19978,0.126171,-1.07361,1,5,36.431,259.74,71.2649,165.502,94.2375,27.959,7.52319,17.7411,10.2179,1704.24,1063.39,640.848,5.15167,2.54713,-2.60454
691.149,109.054,400.101,291.047,90.5546,43.0257,66.7902,23.7645,2175.32,528.923,1646.39,3.18799,0.770001,-2.41799,1,5,50.6546,181.365,135.499,158.432,22.9334,15.6698,12.1079,13.8889,1.78092,2418,1489.93,928.075,-7.32493,-2.93142,4.39351
1000.38,461.916,731.149,269.233,7.3479,-7.3479,0,7.3479,1010.54,741,269.54,-0.124751,-0.163966,-0.0392157,1,5,306.288,604.481,390.726,497.604,106.878,64.2562,45.3077,54.782,9.47426,1502.49,1133.31,369.18,-3.37359,-1.46283,1.91076
1181.31,178.56,679.933,501.374,92.9431,-66.8911,13.026,79.9171,1494.64,713.87,780.77,0.69099,-0.3141,-1.00509,1,5,244.654,256.94,45.1066,151.023,105.917,27.4759,-1.11134,13.1823,14.2936,371.986,179.45,192.536,1.80071,0.599295,-1.20142
938.026,347.005,642.516,295.51,29.8525,23.9306,26.8916,2.96095,1135.34,839.63,295.711,0.799256,0.763752,-0.0355046,1,5,525.173,548.386,20.5858,284.486,263.9,112.741,8.78086,60.7608,51.98,2647.56,2067.81,579.75,-4.09078,-2.67151,1.41928
237.908,176.207,207.058,30.8505,5.1437,1.13336,3.13853,2.00517,1217.77,1162.27,55.5039,3.60179,2.41024,-1.19154,1,5,92.5545,188.665,32.1926,110.429,78.2361,26.3411,7.69181,17.0165,9.32466,462.619,295.6,167.019,3.02887,1.63912,-1.38974
456.108,279.654,367.881,88.2266,6.34847e-06,4.44112e-06,5.3948e-06,9.53674e-07,549.417,461.18,88.2368,0.713141,0.697946,-0.0151951,1,5,203.625,222.23,58.4762,140.353,81.8768,30.283,2.05642,16.1697,14.1133,1661.67,1128.55,533.127,-5.33407,-2.77368,2.56039
137.984,92.2327,115.109,22.8758,5.29896,1.2631,3.28103,2.01793,701.791,203.464,498.328,4.94459,1.1708,-3.77379,1,5,173.904,381.999,46.303,214.151,167.848,48.4989,-7.05535,20.7218,27.7771,1239.91,699.095,540.82,3.68824,1.85146,-1.83678
193.468,90.3192,141.894,51.5743,6.77981,3.4582,5.11901,1.6608,450.833,393.98,56.8526,-1.23252,-1.68015,-0.447635,1,5,86.5369,288.823,22.0177,155.421,133.403,36.6991,8.35679,22.528,14.1712,1425.85,667.901,757.948,-4.55912,-2.13675,2.42237
400.386,31.7765,216.081,184.305,20.382,1.7445,11.0633,9.31876,1208.78,705.1,503.676,0.188338,1.85135,1.66301,1,5,130.953,436.368,135.113,285.74,150.627,96.651,56.3843,76.5176,20.1333,1530.39,1180.69,349.695,-3.57835,-2.09478,1.48357
788.055,164.045,476.05,312.005,70.4105,-64.215,3.09773,67.3128,2021.69,641.555,1380.13,-2.97721,-0.811402,2.16581,1,5,62.7819,337.924,163.953,250.938,86.9855,35.2824,5.78056,20.5315,14.7509,2880.57,980.042,1900.52,-5.81524,-2.0385,3.77674
230.737,20.538,125.637,105.099,10.3449,6.21968,8.2823,2.06262,741.085,634.972,106.114,-2.44074,-2.30331,0.137432,1,5,49.5486,231.752,100.01,165.881,65.8713,21.5074,0.8933,11.2004,10.3071,1167.24,948.019,219.223,4.29943,2.42844,-1.87099
856.167,708.409,782.288,73.8794,18.3405,12.7551,15.5478,2.79269,941.119,782.955,158.164,1.35832,-0.0362028,-1.39453,1,5,241.144,1131.93,970.881,1051.41,80.5258,79.5395,51.6881,65.6138,13.9257,2452.37,1185.35,1267.02,3.94414,0.496222,-3.44792
401.12,97.9611,249.541,151.579,29.3812,26.2711,27.8261,1.55504,1126.96,893.282,233.675,-0.949107,-1.94782,-0.998709,1,5,151.362,458.439,18.0585,238.249,220.19,43.351,8.2632,25.8071,17.5439,2875.38,1331.57,1543.81,5.04113,2.40566,-2.63547
312.045,26.3866,169.216,142.829,8.09227,5.89748,6.99488,1.09739,341.873,197.883,143.99,0.445809,0.572965,0.127155,1,5,360.951,628.596,253.747,441.172,187.425,85.2498,45.1945,65.2221,20.0277,1857.11,448.216,1408.9,2.80726,0.101478,-2.70578
372.646,16.8383,194.742,177.904,3.98155,0.0252901,2.00342,1.97813,1295.2,254.86,1040.34,1.68504,-0.766776,-2.45182,1,5,341.732,429.421,23.3746,226.398,203.023,46.5293,8.35445,27.4419,19.0874,2075.25,622.281,1452.97,4.32452,1.66833,-2.65619
348.441,251.445,299.943,48.4978,4.82956,2.363,3.59628,1.23328,609.42,560.868,48.5526,-1.19818,-1.23834,-0.0401664,1,5,63.29,264.894,108.511,186.703,78.1911,38.6936,27.8928,33.2932,5.40043,1535.37,752.265,783.102,5.06467,2.06994,-2.99473
484.82,40.7081,262.764,222.056,7.31318,4.04057,5.67687,1.6363,717.564,491.868,225.697,1.42022,1.23954,-0.180683,1,5,49.7561,203.481,33.4239,118.453,85.0286,25.0691,15.2758,20.1725,4.89665,1584.64,587.034,997.605,5.43646,2.28278,-3.15368
891.23,521.883,706.557,184.673,21.7593,1.46394,11.6116,10.1477,1282.33,790.799,491.53,-2.11789,-0.483355,1.63453,1,5,146.529,697.562,9.56146,353.562,344.001,124.168,46.664,85.4158,38.7519,2338.53,1485.33,853.2,-3.6693,-2.1123,1.557
515.982,332.42,424.201,91.7808,18.1534,-3.06358,7.54491,10.6085,662.548,427.329,235.219,-1.71278,-0.120072,1.59271,1,5,293.644,141.97,26.4336,84.2018,57.7682,26.5094,1.33811,13.9237,12.5856,448.812,229.722,219.091,-3.66603,-1.6594,2.00663
