type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2
1,807.028,177.468,492.248,314.78,20.6782,0.880764,10.7795,9.89871,963.592,533.722,429.87,0.423475,-0.407142,-0.830617,130.528,779.396,492.488,635.942,143.454,66.9595,32.835,49.8972,17.0622,4477.35,1843.18,2634.18,-5.32841,-1.72571,3.6027
1,362.402,98.0837,230.243,132.159,42.786,-19.3634,11.7113,31.0747,496.848,230.729,266.118,1.35742,0.0405502,-1.31687,69.2665,149.832,56.6993,103.266,46.5664,23.1231,2.71507,12.9191,10.204,825.294,695.774,129.52,4.2739,2.59514,-1.67876
1,460.456,179.521,319.988,140.468,25.7743,18.858,22.3162,3.45812,583.392,430.11,153.282,1.22882,0.805493,-0.423325,235.242,328.164,10.9086,169.536,158.628,22.3974,0.41003,11.4037,10.9937,1984.4,783.528,1200.87,-4.92482,-2.21186,2.71296
1,221.133,166.023,193.578,27.555,2.71056,-0.0556651,1.32745,1.38311,318.202,285.828,32.3738,1.52251,0.94114,-0.581366,116.88,286.672,33.3801,160.026,126.646,30.4165,-4.32829,13.0441,17.3724,1315.89,248.482,1067.41,3.82746,1.00639,-2.82107
1,175.309,85.5903,130.45,44.8593,3.36471,1.96688,2.6658,0.698915,185.626,136.945,48.6806,-0.0959613,0.313656,0.409618,178.767,465.552,218.016,341.784,123.768,69.3615,56.3033,62.8324,6.5291,2860.56,492.772,2367.79,-4.54074,-0.896982,3.64376
1,138.046,31.5668,84.8066,53.2398,6.42818,0.446209,3.4372,2.99099,210.607,157.281,53.3264,-1.23829,-1.22832,0.00996407,121.98,463.816,200.318,332.067,131.749,95.1312,69.2562,82.1937,12.9375,1873.05,442.287,1430.77,-3.84289,-0.766847,3.07605
1,227.045,74.8642,150.955,76.0905,8.36607,3.31049,5.83828,2.52779,299.973,164.762,135.211,1.60011,0.422938,-1.17718,116.178,262.119,160.934,211.527,50.5927,26.9703,0.281213,13.6258,13.3446,534.215,352.88,181.334,3.04567,1.09887,-1.9468
1,204.277,44.8352,124.556,79.7208,18.2201,-11.5368,3.34166,14.8784,1642.05,210.627,1431.42,2.46369,-1.11652,-3.58021,67.0352,96.8111,2.11752,49.4643,47.3468,16.9252,2.56084,9.74304,7.1822,1194.79,1106.93,87.8616,-5.02605,-3.8007,1.22534
1,150.422,53.419,101.921,48.5015,12.9467,-8.0858,2.43043,10.5162,606.844,103.851,502.993,2.83668,-0.192896,-3.02958,40.2655,177.232,26.0015,101.617,75.6152,20.7612,2.05351,11.4073,9.35383,1010.97,255.9,755.07,4.56537,1.57366,-2.99171
1,172.072,116.185,144.129,27.9434,4.76134,1.96913,3.36524,1.39611,190.776,162.116,28.6598,-0.714635,-0.494081,0.220554,120.718,248.521,42.1322,145.327,103.194,56.175,11.9931,34.0841,22.091,1183.38,668.356,515.026,4.49523,2.20562,-2.28962
1,249.071,17.9388,133.505,115.566,10.7117,-8.59955,1.05607,9.65562,659.349,169.945,489.404,2.84502,0.722966,-2.12205,208.525,601.55,36.5534,319.052,282.498,100.734,46.097,73.4156,27.3186,2311.7,1246.77,1064.93,-4.03924,-2.03752,2.00172
1,291.293,98.7578,195.025,96.2675,11.156,-11.156,-3.8147e-06,11.156,320.641,215.436,105.204,0.867002,0.453612,-0.413391,221.349,215.141,95.9633,155.552,59.589,36.4761,24.3959,30.436,6.04013,643.386,341.006,302.38,-3.72425,-1.41694,2.30731
1,87.7616,12.4788,50.1202,37.6414,3.6292,2.13279,2.88099,0.748205,234.761,169.843,64.9179,0.75005,1.89093,1.14088,35.2496,113.709,17.2342,65.4717,48.2375,9.93186,-2.97401,3.47892,6.45294,1152.29,1102.94,49.3555,3.68584,3.51637,-0.169463
1,73.44,2.63308,38.0365,35.4035,6.7435e-07,-6.7435e-07,0,6.7435e-07,142.682,92.7962,49.8858,0.663871,1.54008,0.876207,237.675,275.546,165.842,220.694,54.8519,21.9539,4.94328,13.4486,8.50531,1166.29,905.87,260.423,4.32896,2.08997,-2.23899
1,228.611,162.581,195.596,33.0152,1.25834,1.25834,1.25834,-1.16801e-06,283.74,227.772,55.9686,1.68573,0.565974,-1.11976,15.2487,245.007,57.5939,151.3,93.7064,26.5865,1.52274,14.0546,12.5319,2808.62,206.461,2602.16,4.84321,0.826469,-4.01674
1,152.11,7.36851,79.7393,72.3708,4.63962,0.310607,2.47511,2.1645,555.844,287.343,268.501,0.0302987,-1.95519,-1.98549,181.657,167.439,31.4682,99.4537,67.9855,24.3036,-6.11447,9.09458,15.209,772.784,113.005,659.778,-3.47222,-0.5094,2.96282
1,180.568,129.323,154.946,25.6228,2.13419,0.206046,1.17012,0.964072,339.52,283.634,55.8868,-2.62863,-1.21306,1.41557,115.189,310.73,243.641,277.185,33.5443,23.7209,13.5796,18.6503,5.07067,1312.16,508.104,804.06,-5.08342,-1.21392,3.8695
1,248.962,93.0577,171.01,77.9522,2.16325,0.190831,1.17704,0.986209,441.28,361.2,80.0799,1.6122,1.37941,-0.232786,102.77,290.003,136.009,213.006,76.9971,36.4906,18.5958,27.5432,8.94737,1127.46,244.032,883.426,3.65135,0.520117,-3.13123
1,246.821,120.303,183.562,63.2588,15.0687,-9.84044,2.61413,12.4546,578.2,195.896,382.304,-2.84899,-0.364313,2.48468,73.1415,259.445,20.8603,140.153,119.292,27.1999,5.2754,16.2376,10.9622,1053.68,785.853,267.831,3.85616,2.40892,-1.44724
1,95.5614,40.5575,68.0594,27.502,5.58069,0.0643153,2.8225,2.75819,132.408,69.3352,63.0725,-1.28185,0.188932,1.47078,94.3385,93.1049,2.85488,47.9799,45.125,7.05779,0.829669,3.94373,3.11406,1840.95,1669.26,171.689,-6.25378,-4.24229,2.01149
1,183.274,113.111,148.192,35.0815,7.49348,4.36721,5.93034,1.56314,231.597,192.5,39.0971,1.22667,0.754469,-0.472203,92.0266,267.083,105.111,186.097,80.9858,22.2539,6.7976,14.5258,7.72817,900.522,267.306,633.216,3.64664,0.901141,-2.74549
